time,symbol,name,marketCap,fiscalQuarterEnding,epsForecast,noOfEsts,lastYearRptDt,lastYearEPS
time-not-supplied,CIT,CIT Group Inc (DEL),"$4,843,349,500",Jun/2021,$1.24,1,07/21/2020,($0.62)
time-not-supplied,SUM,"Summit Materials, Inc.","$3,991,498,965",Jun/2021,$0.58,3,07/21/2020,$0.50
time-after-hours,HWC,Hancock Whitney Corporation,"$3,803,597,778",Jun/2021,$1.15,6,07/21/2020,($1.36)
time-pre-market,GATX,GATX Corporation,"$3,115,200,000",Jun/2021,$1.01,1,07/21/2020,$1.05
time-pre-market,BMI,"Badger Meter, Inc.","$2,851,906,591",Jun/2021,$0.48,2,07/16/2020,$0.33
time-pre-market,ONB,Old National Bancorp,"$2,839,001,425",Jun/2021,$0.40,3,07/20/2020,$0.33
time-after-hours,UCBI,"United Community Banks, Inc.","$2,671,912,786",Jun/2021,$0.77,1,07/21/2020,$0.32
time-after-hours,SNBR,Sleep Number Corporation,"$2,640,888,800",Jun/2021,$1.17,5,07/15/2020,($0.45)
time-after-hours,FULT,Fulton Financial Corporation,"$2,590,313,580",Jun/2021,$0.32,5,07/21/2020,$0.24
time-after-hours,RUSHA,"Rush Enterprises, Inc.","$2,462,591,657",Jun/2021,$0.86,1,07/22/2020,$0.31
time-pre-market,SI,Silvergate Capital Corporation,"$2,417,709,298",Jun/2021,$0.41,1,07/27/2020,$0.29
time-not-supplied,MLI,"Mueller Industries, Inc.","$2,331,944,794",Jun/2021,,0,07/21/2020,$0.50
time-not-supplied,HCSG,"Healthcare Services Group, Inc.","$2,313,238,320",Jun/2021,$0.29,4,07/21/2020,$0.31
time-pre-market,FMBI,"First Midwest Bancorp, Inc.","$2,184,873,187",Jun/2021,$0.37,4,07/21/2020,$0.19
time-after-hours,RUSHB,"Rush Enterprises, Inc.","$2,174,705,745",Jun/2021,,4,NA,$0.31
time-after-hours,HOPE,"Hope Bancorp, Inc.","$1,684,205,479",Jun/2021,$0.38,4,07/30/2020,$0.22
time-after-hours,AIR,AAR Corp.,"$1,286,688,947",May/2021,$0.44,2,07/21/2020,$0.26
time-not-supplied,EBSB,"Meridian Bancorp, Inc.","$1,034,922,766",Jun/2021,$0.41,1,07/21/2020,$0.34
time-after-hours,FOR,Forestar Group Inc,"$957,442,371",Jun/2021,$0.45,1,07/23/2020,$0.16
time-after-hours,PFBC,Preferred Bank,"$914,454,412",Jun/2021,$1.48,5,07/21/2020,$1.03
time-not-supplied,NCBS,Nicolet Bankshares Inc.,"$694,324,585",Jun/2021,$1.65,1,07/21/2020,$1.28
time-pre-market,CATC,Cambridge Bancorp,"$585,270,604",Jun/2021,$1.80,2,07/28/2020,$1.32
time-pre-market,PEBO,Peoples Bancorp Inc.,"$574,564,756",Jun/2021,$0.78,2,07/21/2020,$0.29
time-not-supplied,AROW,Arrow Financial Corporation,"$566,141,175",Jun/2021,$0.82,1,07/21/2020,$0.59
time-pre-market,MBWM,Mercantile Bank Corporation,"$489,600,459",Jun/2021,$0.82,3,07/21/2020,$0.54
time-not-supplied,CCBG,Capital City Bank Group,"$422,139,543",Jun/2021,$0.58,3,07/21/2020,$0.55
time-not-supplied,CCNE,CNB Financial Corporation,"$397,294,261",Jun/2021,$0.72,2,07/21/2020,$0.56
time-after-hours,SMBK,"SmartFinancial, Inc.","$369,308,961",Jun/2021,$0.49,4,07/21/2020,$0.48
time-not-supplied,CHSCP,CHS Inc,"$368,160,090",May/2021,,4,NA,NA
time-not-supplied,FCBP,First Choice Bancorp,"$347,190,189",Jun/2021,,4,NA,$0.49
time-not-supplied,ORRF,Orrstown Financial Services Inc,"$262,391,971",Jun/2021,$0.69,2,07/21/2020,$0.58
time-not-supplied,CTG,"Computer Task Group, Incorporated","$146,860,558",Jun/2021,$0.12,2,07/21/2020,$0.10
time-not-supplied,ANIX,"Anixa Biosciences, Inc.","$121,896,113",Apr/2021,($0.11),4,NA,($0.12)
time-not-supplied,CPSS,"Consumer Portfolio Services, Inc.","$103,141,766",Jun/2021,$0.20,2,07/21/2020,$0.13
time-not-supplied,ASRV,AmeriServ Financial Inc.,"$64,862,200",Jun/2021,,4,NA,$0.08
time-not-supplied,RVPH,"Reviva Pharmaceuticals Holdings, Inc.","$21,103,012",Jun/2021,($0.24),4,NA,($0.09)
